ForbidID,ForbidNo,PlantCode,BU,Customer,ForbidDate
B2E13335-DCFD-4FB1-A0E0-C079A3CC22B4,PSG-Forbid-GER-0376,CP81,BU1,BU1-HP,2014/7/1
A11ACE63-61ED-4CD7-BB2F-C0A742C8E793,PSG-Forbid-GER-0472,CP60,BU1,BU1-HP,2014/8/8
D362C762-1309-4344-BCE0-C0B0E7303B58,PSG-Forbid-GER-0984,CP85,BU2-ASUS,BD2C-ASUS,2015/11/16
2454BFCF-5918-4E30-AF7A-C11787CC6A16,PSG-Forbid-GER-2224,CP60,BU1,BU1-HP,2021/9/13
674C85F7-E27A-4421-8845-C151418674FE,PSG-Forbid-A-COVINI-0003,CP69,BU2-ACER,BD3C-ACER,2019/6/3
F4262D05-FF61-4092-B08D-C16E8C3999BE,PSG-Forbid-GER-1551,CP60,BU1,BU1-HP,2018/7/16
3DC1C640-AE3D-45D0-9D84-C1816DE39119,PSG-Forbid-GER-1217,CP60,BU1,BU1-HP,2017/2/14
2D10D2A0-569D-4F57-A13C-C183C0E94132,PSG-Forbid-GER-0885,CP11,ASUS,AIO-ASUS,2015/7/14
0C02102B-A79B-4622-BAEE-C18E82A971EB,PSG-Forbid-F-ADZAM-0005,CP62,BU6B,BU2-FJ and Onkyo,2016/10/17
B6C9628A-AF6C-4608-9339-C1C4882412BD,PSG-Forbid-GER-0580,CP82,BU6B,BU2-FJ and Onkyo,2014/9/22
E3D20433-BEF1-432E-B1AC-C2222DF767EE,PSG-Forbid-GER-1348,CP62,BU6B,BU2-FJ and Onkyo,2017/7/26
942C5F58-E0C0-4232-A662-C22F235D37CF,PSG-Forbid-GER-0326,CP60,BU1,BU1-HP,2014/6/7
9B2808DC-93A8-4929-B704-C245966FBB2C,PSG-Forbid-F-BAZOOKA-0009,CP81,BU1,BU1-HP,2015/3/19
2632624A-B650-4FF2-A974-C27768F755D1,PSG-Forbid-GER-0916,CP11,AIOL,AIO/Lenovo,2015/9/9
8B6EAA0A-9F3F-4326-A50D-C2946AE46FDD,PSG-Forbid-GER-0172,CP11,AIO-HP,AIO/HP,2014/5/14
4AB3B602-97A8-46D7-B0C9-C2C19F1C0FD3,PSG-Forbid-F-LINDEN-0001,CP60,BU1,BU1-HP,2020/8/6
55484CC5-34CF-4A95-AD55-C2C844452913,PSG-Forbid-GER-0757,CP60,BU1,BU1-HP,2015/3/16
4E954519-64CA-4FAB-AE19-C3059BC0C2A8,PSG-Forbid-GER-0877,CP11,ASUS,AIO-ASUS,2015/7/6
9C8D6A79-D1E9-43DB-80A4-C335DA42740C,PSG-Forbid-F-SLICE-0001,CP60,BU1,BU1-HP,2016/12/9
3A2E2CF0-40FD-4F21-BB04-C34090192012,PSG-Forbid-GER-0717,CP11,AIOL,AIO/Lenovo,2015/1/22
52F3BE69-3E12-44C8-A03A-C3ABF63597C4,PSG-Forbid-F-800-0002,CP63,AIO-HP,AIO/HP,2017/4/7
897847D0-D987-44DF-9CDE-C3C28A00405F,PSG-Forbid-F-COMET-0002,CP81,BU1,BU1-HP,2014/3/17
BD6F00E7-A1FB-474C-B415-C3EA8D7E2F0A,PSG-Forbid-GER-0039,CP11,AIOL,AIO/Lenovo,2014/3/4
8D1C4E77-F018-49DF-8A4B-C40DCC4E9D53,PSG-Forbid-GER-0131,CP11,AIO-HP,AIO/HP,2014/4/17
C799217E-C16A-469C-A03D-C41849C1C5B4,PSG-Forbid-F-ADZAM2G-0002,CP82,BU6B,BU2-FJ and Onkyo,2016/1/12
A80B249D-1ED1-4D27-9D22-C42DDB38636F,PSG-Forbid-GER-2586,CP60,BU1,BU1-HP,2023/11/22
3D9FD138-6CF2-40DF-983C-C435C1CAE858,PSG-Forbid-F-MERITAG-0004,CP60,BU1,BU1-HP,2017/5/9
2329398F-4492-490B-917B-C46318BE5006,PSG-Forbid-F-REZEL-0002,CP18,BU6B,BU2-FJ and Onkyo,2016/3/30
C6A76B5B-E27F-4F3C-A5F5-C47DA35E3A84,PSG-Forbid-GER-2535,CP60,BU1,BU1-HP,2023/11/22
7971BBC3-9B57-4F92-A0D6-C495DC7912CF,PSG-Forbid-GER-1612,CP60,BU1,BU1-HP,2018/9/1
FD70F9A2-E369-4CB0-B57A-C4AD7B27EE16,PSG-Forbid-GER-0057,CP11,AIOL,AIO/Lenovo,2014/3/7
945183FD-13C0-4455-AF62-C53990068DDC,PSG-Forbid-GER-2565,CP60,BU1,BU1-HP,2023/11/22
BE7FE2CA-D337-4B3D-A7ED-C5495423BE6B,PSG-Forbid-GER-0918,CP11,AIOL,AIO/Lenovo,2015/9/9
8A5365A1-5580-4C71-A7CA-C5B62BE38C97,PSG-Forbid-GER-0290,CP82,BU6B,BU2-FJ and Onkyo,2014/6/3
59A3FF0C-FC1A-4852-9177-C5FA1B6FFA76,PSG-Forbid-GER-0364,CP60,BU1,BU1-HP,2014/6/25
5879E7A1-60C2-47D5-88C8-C5FF1586FAA6,PSG-Forbid-F-COMPUTR-0006,CP60,BU1,BU1-HP,2018/2/2
82290860-681E-4BF9-AC45-C63C5EE351D1,PSG-Forbid-GER-0253,CP60,BU1,BU1-HP,2014/5/28
A6B80335-8D7F-4312-BD55-C66EA53D23CA,PSG-Forbid-F-REBORN-0001,CP82,BU6B,BU2-FJ and Onkyo,2015/12/2
EC5727F3-DB81-417A-9EC1-C6768A3D4964,PSG-Forbid-F-RHEA-0010,CP83,BU5A,BD2E-DELL,2016/11/7
0024362B-17AE-4550-84A2-C6BB5108BC5C,PSG-Forbid-GER-0915,CP11,AIOL,AIO/Lenovo,2015/9/9
BD729202-7F96-42C2-85BE-C6CF96FE8DFA,PSG-Forbid-GER-2014,CP60,BU1,BU1-HP,2020/9/5
FFCBE5E1-57DD-4EA8-B8C6-C702AAB908BB,PSG-Forbid-GER-1299,CP60,BU1,BU1-HP,2017/6/16
EB85C6D1-14E0-4C24-88A5-C70894A9EEA5,PSG-Forbid-GER-0295,CP60,BU1,BU1-HP,2014/6/4
